url,full_title,title,numeric_title,effect,category,is_harmful
https://calorizator.ru/addon/e2xx/e214,E214 Пара-гидроксибензойной кислоты этиловый эфир,пара-гидроксибензойной кислоты этиловый эфир,E214,Канцерогенный эффект (вызывает рак),E2xx Консерванты,1
https://calorizator.ru/addon/e2xx/e215,E215 Пара-гидроксибензойной кислоты этилового эфира натриевая соль (Этилпарабен),пара-гидроксибензойной кислоты этилового эфира натриевая соль,E215,Канцерогенный эффект (вызывает рак),E2xx Консерванты,1
https://calorizator.ru/addon/e2xx/e216,E216 Пара-оксибензойной кислоты пропиловый эфир (Пропилпарабен),пара-оксибензойной кислоты пропиловый эфир,E216,Канцерогенный эффект (вызывает рак),E2xx Консерванты,1
https://calorizator.ru/addon/e2xx/e217,E217 Пара-оксибензойной кислоты пропилового эфира натриевая соль,пара-оксибензойной кислоты пропилового эфира натриевая соль,E217,Канцерогенный эффект (вызывает рак),E2xx Консерванты,1
https://calorizator.ru/addon/e2xx/e218,E218 Пара-гидроксибензойной кислоты метиловый эфир (Метилпарабен),пара-гидроксибензойной кислоты метиловый эфир,E218,Опасные для здоровья,E2xx Консерванты,1
https://calorizator.ru/addon/e2xx/e219,E219 Пара-гидроксибензойной кислоты метилового эфира натриевая соль,пара-гидроксибензойной кислоты метилового эфира натриевая соль,E219,Канцерогенный эффект (вызывает рак),E2xx Консерванты,1
https://calorizator.ru/addon/e2xx/e220,E220 Диоксид серы,диоксид серы,E220,Опасные для здоровья,E2xx Консерванты,1
https://calorizator.ru/addon/e2xx/e221,E221 Сульфит натрия,сульфит натрия,E221,Нет данных,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e222,E222 Гидросульфит натрия,гидросульфит натрия,E222,Нет данных,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e223,E223 Пиросульфит натрия (метабисульфит),пиросульфит натрия,E223,Нет данных,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e224,E224 Пиросульфит калия (Калий метабисульфит),пиросульфит калия,E224,Опасные для здоровья,E2xx Консерванты,1
https://calorizator.ru/addon/e2xx/e225,E225 Сульфит калия,сульфит калия,E225,Нет данных,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e226,E226 Сульфит кальция,сульфит кальция,E226,Нет данных,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e227,E227 Гидросульфит кальция,гидросульфит кальция,E227,Нет данных,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e228,E228 Гидросульфит калия (бисульфит калия),гидросульфит калия,E228,Опасные для здоровья,E2xx Консерванты,1
https://calorizator.ru/addon/e2xx/e230,"E230 Бифенил, дифенил","бифенил, дифенил",E230,Канцерогенный эффект (вызывает рак),E2xx Консерванты,1
https://calorizator.ru/addon/e2xx/e231,E231 Ортофенилфенол,ортофенилфенол,E231,Нет данных,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e232,E232 Ортофенилфенола натриевая соль,ортофенилфенола натриевая соль,E232,Нет данных,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e233,E233 Тиабендазол,тиабендазол,E233,Опасные для здоровья,E2xx Консерванты,1
https://calorizator.ru/addon/e2xx/e234,E234 Низин,низин,E234,Нет данных,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e235,"E235 Натамицин, пимарицин","натамицин, пимарицин",E235,Нет данных,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e236,E236 Муравьиная кислота,муравьиная кислота,E236,Опасные для здоровья,E2xx Консерванты,1
https://calorizator.ru/addon/e2xx/e237,E237 Формиат натрия,формиат натрия,E237,Опасные для здоровья,E2xx Консерванты,1
https://calorizator.ru/addon/e2xx/e238,E238 Формиат кальция,формиат кальция,E238,Нет данных,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e239,E239 Гексаметилентетрамин,гексаметилентетрамин,E239,Опасные для здоровья,E2xx Консерванты,1
https://calorizator.ru/addon/e2xx/e240,E240 Формальдегид,формальдегид,E240,Канцерогенный эффект (вызывает рак),E2xx Консерванты,1
https://calorizator.ru/addon/e2xx/e241,E241 Гваяковая смола,гваяковая смола,E241,Не для пищевых продуктов,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e242,E242 Диметилдикарбонат,диметилдикарбонат,E242,Нет данных,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e249,E249 Нитрит калия,нитрит калия,E249,Канцерогенный эффект (вызывает рак),E2xx Консерванты,1
https://calorizator.ru/addon/e2xx/e250,E250 Нитрит натрия,нитрит натрия,E250,Канцерогенный эффект (вызывает рак),E2xx Консерванты,1
https://calorizator.ru/addon/e2xx/e251,E251 Нитрат натрия,нитрат натрия,E251,Канцерогенный эффект (вызывает рак),E2xx Консерванты,1
https://calorizator.ru/addon/e2xx/e252,E252 Нитрат калия,нитрат калия,E252,Канцерогенный эффект (вызывает рак),E2xx Консерванты,1
https://calorizator.ru/addon/e2xx/e260,E260 Уксусная кислота,уксусная кислота,E260,Нет данных,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e261,E261 Ацетаты калия,ацетаты калия,E261,Нет данных,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e262,E262 Ацетаты натрия,ацетаты натрия,E262,Нет данных,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e263,E263 Ацетат кальция,ацетат кальция,E263,Нет данных,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e264,E264 Ацетат аммония,ацетат аммония,E264,Нет данных,E2xx Консерванты,0
https://calorizator.ru/addon/e2xx/e265,E265 Дегидроацетовая кислота,дегидроацетовая кислота,E265,Считаются безвредными,E2xx Консерванты,0
